SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"A";1;Landbrug, jagt, skovbrug og fiskeri;Denne hovedafdeling omfatter udnyttelsen af planteressourcerne og de animalske ressourcer. Hovedafdelingen omfatter aktiviteter i forbindelse med dyrkning af afgrøder, husdyropdræt og -avl, produktion af tømmer og høst/udnyttelse af andre planter, dyr og animalske produkter fra landbrugsbedrifter eller deres naturlige omgivelser.;;;;;
2;"01";2;Plante- og husdyravl, jagt og serviceydelser i forbindelse hermed;"I denne hovedgruppe sondres mellem to basisaktiviteter: produktion af vegetabilske produkter og produktion af animalske produkter. Hovedgruppen omfatter økologisk landbrug samt dyrkning af genetisk modificerede afgrøder og opdræt af genetisk modificerede dyr. Hovedgruppen omfatter dyrkning af afgrøder i det fri og i væksthus.

Hovedgruppen omfatter også serviceydelser i forbindelse med landbrug og jagt, fældefangst og aktiviteter i forbindelse hermed.

Gruppe <ref>01.5</ref> (Blandet drift) bryder med de normale principper for identifikation af hovedaktivitet. Det accepteres, at mange landbrug har et balanceret forhold mellem plante- og husdyravl, og at en klassifikation heraf i den ene eller den anden kategori ville blive tilfældig.

Landbrugsaktiviteter omfatter ikke enhver efterfølgende forarbejdning af landbrugsprodukter (klassificeret i hovedgruppe <ref>10</ref> og <ref>11</ref> (Fremstilling af føde- og drikkevarer) og hovedgruppe <ref>12</ref> (Fremstilling af tobaksprodukter)) ud over den forarbejdning, der er nødvendig for afsætningen på de primære markeder. Forarbejdningen af produkter til afsætning på de primære markeder er omfattet her.

Hovedgruppen omfatter ikke anlæg af marker (fx anlæg af terrasser til dyrkning, dræning, anlæg af rismarker mv.), som er klassificeret i hovedafdeling <ref>F</ref> (Bygge- og anlægsvirksomhed), og indkøbsforeninger og kooperativer, som afsætter landbrugsprodukter, der er klassificeret i hovedafdeling <ref>G</ref>.";;;;;
3;"01.1";3;Dyrkning af etårige afgrøder;Denne gruppe omfatter dyrkning af etårige afgrøder, dvs. planter, der ikke varer i mere end to vækstsæsoner. Gruppen omfatter også dyrkning af disse planter med henblik på produktion af frø og sædekorn.;;;;;
4;"01.11";4;Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;Denne undergruppe omfatter alle former for dyrkning af korn, bælgfrugter og olieholdige frø i det fri. Dyrkning af disse afgrøder er ofte kombineret inden for en landbrugsbedrift.;;;;;
5;"011100";5;Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;Branchen omfatter dyrkning af alle former for korn (undtagen ris), bælgfrugter og olieholdige frø.;"Dyrkning af korn som:
- Hvede
- Majs
- Durra
- Byg
- Rug
- Havre
- Hirse
- Boghvede
- Andre kornsorter i.a.n.
Dyrkning af bælgfrugter som:
- Bønner
- Hestebønner
- Kikærter
- Koærter
- Linser
- Lupiner
- Ærter
- Ærtebønner
- Andre bælgfrugter
Dyrkning af olieholdige frø som:
- Sojabønner
- Jordnødder
- Bomuldsfrø
- Ricinusfrø
- Hørfrø
- Sennepsfrø
- Nigerfrø
- Rapsfrø
- Saflorfrø
- Sesamfrø
- Solsikkefrø
- Andre olieholdige frø";;"- Dyrkning af ris, jf.<ref>01.12.00</ref>
- Dyrkning af sukkermajs, jf.<ref>01.13.00</ref>
- Dyrkning af fodermajs, jf.<ref>01.19.00</ref>
- Dyrkning af olieholdige frugter, jf.<ref>01.26.00</ref>";;
6;"01.12";4;Dyrkning af ris;;;;;;
7;"011200";5;Dyrkning af ris;Branchen omfatter dyrkning af ris.;Dyrkning af ris;;;;
8;"01.13";4;Dyrkning af grøntsager og meloner, rødder og rodknolde;;;;;;
9;"011300";5;Dyrkning af grøntsager og meloner, rødder og rodknolde;Branchen omfatter dyrkning af grøntsager og meloner, som fx agurker, tomater, kartofler, maniok og honningmelon. Dyrkning af krydderiplanter og aromaplanter henvises til 01.30.00;"Dyrkning af bladgrøntsager eller stængelgrøntsager som:
- Artiskokker
- Asparges
- Kål
- Blomkål og broccoli
- Salat og cikorie
- Spinat
- Andre bladgrøntsager eller stængelgrøntsager
- Dyrkning af frugtbærende grøntsager som:
- Agurker og drueagurker
- Auberginer
- Tomater
- Vandmeloner
- Kantalupmeloner
- Andre meloner og frugtbærende grøntsager
- Dyrkning af rod-, løg- eller knoldgrøntsager som:
- Gulerødder
- Turnips
- Hvidløg
- Løg (herunder skalotteløg)
- Porrer og andre alliumarter
- Andre rod-, løg- eller knoldgrøntsager
Dyrkning af svampe og trøfler
Dyrkning af champignoner
Dyrkning af grøntsagsfrø, herunder sukkerroefrø, bortset fra andre roefrø
Dyrkning af sukkermajs
Dyrkning af sukkerroer
Dyrkning af andre grøntsager
Dyrkning af rødder og rodknolde som:
- Kartofler
- Søde kartofler
- Maniok
- Yams
- Andre rødder og rodknolde";;"- Dyrkning af chilipebere, peberfrugter (capsicum sop.) og andre krydderiplanter og aromaplanter, jf.<ref>01.28.00</ref>
- Dyrkning af svampemycelium til formering, jf.<ref>01.30.00</ref>";;
10;"01.14";4;Dyrkning af sukkerrør;;;;;;
11;"011400";5;Dyrkning af sukkerrør;Branchen omfatter dyrkning af sukkerrør. Dyrkning af sukkerroer henvises til 01.13.00;;;Dyrkning af sukkerroer, jf.<ref>01.13.00</ref>;;
12;"01.15";4;Dyrkning af tobak;;;;;;
13;"011500";5;Dyrkning af tobak;Branchen omfatter dyrkning af tobak.;"Dyrkning af tobak:
- Tørret/strippet tobak";;;;
14;"01.16";4;Dyrkning af tekstilplanter;;;;;;
15;"011600";5;Dyrkning af tekstilplanter;Branchen omfatter dyrkning af fx bomuld, jute, hør og hamp, sisal, abaca samt rødning af tekstilplanter.;"Dyrkning af bomuld
Dyrkning af jute, kenaf og andre stængelfibre
Dyrkning af hør og hamp
Dyrkning af sisal og andre agavefibre
Dyrkning af abaca, ramie og andre tekstilfiberplanter
Dyrkning af andre tekstilplanter
Rødning af planter med vegetabilske tekstilfibre (jute, hør, kokosfibre mv.)";;;;
16;"01.19";4;Dyrkning af andre etårige afgrøder;;;;;;
