SEKVENS	KODE	NIVEAU	TITEL	GENERELLE_NOTER	INKLUDERER	INKLUDERER_OGSÅ	EKSKLUDERER	PARAGRAF	MÅLEENHED
1	5	1	Førskoleuddannelser						
2	510	2	Førskoleuddannelser						
3	51010	3	Vuggestue mv.						
4	5101010	4	Vuggestue						
5	1984	5	Vuggestue mv., førskoleuddannelse						
6	51020	3	Børnehave mv.						
7	5102010	4	Børnehave						
8	1985	5	Børnehave mv., førskoleuddannelse						
9	10	1	Grundskole						
10	1001	2	Ingen uddannelse						
11	100110	3	Ingen uddannelse Indv.udd						
12	10011010	4	Ingen uddannelse Indv.udd						
13	1	5	Ingen uddannelse ivu						
14	1010	2	Grundskole til og med 6. klasse						
15	101010	3	Grundskole til og med 6. klasse						
16	10101010	4	0. klasse						
17	1100	5	Børnehaveklasse						
18	1120	5	Børnehaveklasse						
19	10101011	4	1. klasse						
20	1101	5	1. klasse						
21	10101012	4	2. klasse						
22	1102	5	2. klasse						
23	10101013	4	3. klasse						
24	1103	5	3. klasse						
25	10101014	4	4. klasse						
26	1104	5	4. klasse						
27	10101015	4	5. klasse						
28	1105	5	5. klasse						
29	10101016	4	6. klasse						
30	1006	5	6. klasse						
31	1106	5	6. klasse						
32	1206	5	6. klasse						
33	10101020	4	Grundskole til og med 6. årgang						
34	200	5	1-6 år ivu						
35	1020	2	Grundskole 7.-9. klasse						
36	102010	3	Grundskole 7.-9. klasse						
37	10201010	4	7. klasse						
38	1007	5	7. klasse						
39	1107	5	7. klasse						
40	1207	5	7. klasse						
41	10201011	4	8.klasse						
42	1008	5	8. klasse						
43	1021	5	1. real						
44	1108	5	8. klasse						
45	1121	5	1. real						
46	1208	5	8. klasse						
47	1721	5	1. år, realkursus 3-årigt						
48	2508	5	8. klasse, efterskole						
49	10201012	4	9. klasse						
50	1009	5	9. klasse						
51	1022	5	2. real						
52	1109	5	9. klasse						
53	1122	5	2. real						
54	1209	5	9. klasse						
55	1509	5	1. år, grundsskolekursus 2-årigt						
56	1522	5	1. år, realkursus 2-årigt						
57	1722	5	2. år, realkursus 3-årigt						
58	2509	5	9. klasse, efterskole						
59	10201020	4	Grundskole 7.-9. årgang						
60	205	5	7-8 år ivu						
61	210	5	9-10 år ivu						
62	1030	2	Grundskole 10. klasse						
63	103010	3	Grundskole 10. klasse						
64	10301010	4	10. klasse						
65	1010	5	10. klasse						
66	1011	5	11. klasse						
67	1023	5	3. real						
68	1110	5	10. klasse						
69	1111	5	11. klasse						
70	1123	5	3. real						
71	1210	5	10. klasse						
72	1410	5	1-årigt grundskolekursus						
73	1423	5	1-årigt realkursus						
74	1510	5	2. år, grundsskolekursus 2-årigt						
75	1523	5	2. år, realkursus 2-årigt						
76	1723	5	3. år, realkursus 3-årigt						
77	2401	5	Efterskole una						
78	2510	5	10. klasse, efterskole						
79	2511	5	11. klasse, efterskole						
80	1040	2	Grundskolefag for voksne						
81	104010	3	Almen voksenuddannelse, enkeltfag						
82	10401010	4	Almen voksenuddannelse, enkeltfag						
83	9602	5	Fsu Folkeskolens udvidede afgangsprøve, enkeltfag						
84	9603	5	Fsa Folkeskolens afgangsprøve, enkeltfag						
85	9604	5	Almen voksenuddannelse, enkeltfag						
86	104020	3	Forberedende voksenuddannelse, enkeltfag						
87	10402010	4	Forberedende voksenuddannelse, enkeltfag						
88	9606	5	Forberedende voksenuddannelse, enkeltfag						
89	104030	3	Ordblindeundervisning for voksne						
90	10403010	4	Ordblindeundervisning for voksne						
91	9607	5	Ordblindeundervisning for voksne						
92	15	1	Forberedende uddannelser						
93	1510	2	Højskoleforløb						
94	151010	3	Folke- og ungdomshøjskolekurser						
95	15101010	4	Daghøjskoler						
96	2428	5	Daghøjskoler						
97	15101020	4	Ungdomshøjskolekursus						
98	2431	5	Ungdomshøjskolekursus, alment						
99	2432	5	Ungdomshøjskolekursus, andre						
100	15101030	4	Folkehøjskolekursus, alment						
101	2441	5	Folkehøjskolekursus, alment						
102	15101040	4	Folkehøjskolekursus, gymnastik / idræt						
103	2442	5	Folkehøjskolekursus, særlig gymnastik-/idrætskursus						
104	15101050	4	Folkehøjskolekursus for handicappede						
105	2445	5	Folkehøjskolekursus, særlig tilrettelagt for handicappede						
106	15101060	4	Folkehøjskolekursus, andre						
107	2443	5	Folkehøjskolekursus, håndarbejde og sløjd						
108	2444	5	Folkehøjskolekursus, forkursus sygepleje						
109	2446	5	Folkehøjskolekursus, pensionister						
110	2447	5	Folkehøjskolekursus, andre						
111	1520	2	Introducerende og erhvervsrettede forløb						
112	152010	3	Husholdnings- og håndarbejdskurser						
113	15201010	4	Husholdningskursus, alment						
114	2411	5	Husholdningskursus, alment						
115	15201020	4	Husholdningskursus, andre						
116	2413	5	Køkkenleder 1						
117	2415	5	Husholdningsskole, efteruddannelseskursus						
118	2417	5	Husholdningsskole, andre kurser						
119	15201030	4	Håndarbejdskursus						
120	2421	5	Håndarbejdskursus						
121	152020	3	Tekniske enkeltfag						
122	15202010	4	Tx-enkeltfag						
123	3942	5	Tx-enkeltfag						
124	152030	3	Tf-kurser mv.						
125	15203010	4	Tf-kurser mv.						
126	2472	5	Tf-landbrugsteknik						
127	3955	5	Tf-kursus una						
128	5015	5	Tf-kursus						
129	5016	5	Tf-kemiteknik						
130	5018	5	Tf-produktionsteknik						
131	5019	5	Tf-mejeriteknik						
132	5044	5	Tf-gartneriteknik						
133	5048	5	Tf-skibsteknik						
134	5049	5	Tf-tekstilteknik						
135	5051	5	Tf-byggeteknik						
136	5052	5	Tf-maskinteknik						
137	5053	5	Tf-stærkstrømsteknik						
138	5054	5	Tf-svagstrømsteknik						
139	5091	5	Laborant, forskole						
140	152040	3	Særlige ungdomsuddannelser						
141	15204010	4	Særlige ungdomsuddannelser						
142	2425	5	Særlig tilrettelagt ungdomsuddannelse (STU)						
143	2492	5	Kombineret ungdomsuddannelse						
144	2530	5	Den fri ungdomsuddannelse (FUU)						
145	4725	5	Erhvervsgrunduddannelse EGU						
146	4763	5	Forberedende grunduddannelse (FGU), basis, FVU-niveau						
147	4764	5	Forberedende grunduddannelse (FGU), basis, faglig introduktion						
148	4765	5	Forberedende grunduddannelse (FGU), almen grunduddannelse						
149	4766	5	Forberedende grunduddannelse (FGU), produktionsgrunduddannelse						
150	4767	5	Forberedende grunduddannelse (FGU), erhvervsgrunduddannelse						
151	152050	3	Andre erhvervsrettede forløb						
152	15205010	4	Kreativ basis, grafisk åben uddannelse						
153	1365	5	Kreativ basis, grafisk åben uddannelse (GÅU)						
154	15205020	4	Produktionsskole						
155	1901	5	Produktionsskole						
156	15205030	4	Erhvervsintroduktion, kurser						
157	1351	5	Erhvervsintroduktion, kurser for unge						
158	1352	5	Erhvervsintroduktion, langtidsledige						
159	1353	5	Erhvervsintroduktion, kurser for kvinder						
160	1354	5	Erhvervsintroduktion, eifu/eifl-kurser						
