SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"05";1;Førskoleuddannelser;;;;;;
2;"0510";2;Førskoleuddannelser;;;;;;
3;"051010";3;Vuggestue mv.;;;;;;
4;"05101010";4;Vuggestue;;;;;;
5;"1984";5;Vuggestue mv., førskoleuddannelse;;;;;;
6;"051020";3;Børnehave mv.;;;;;;
7;"05102010";4;Børnehave;;;;;;
8;"1985";5;Børnehave mv., førskoleuddannelse;;;;;;
9;"10";1;Grundskole;;;;;;
10;"1001";2;Ingen uddannelse;;;;;;
11;"100110";3;Ingen uddannelse Indv.udd;;;;;;
12;"10011010";4;Ingen uddannelse Indv.udd;;;;;;
13;"0001";5;Ingen uddannelse ivu;;;;;;
14;"1010";2;Grundskole til og med 6. klasse;;;;;;
15;"101010";3;Grundskole til og med 6. klasse;;;;;;
16;"10101010";4;0. klasse;;;;;;
17;"1100";5;Børnehaveklasse;;;;;;
18;"1120";5;Børnehaveklasse;;;;;;
19;"10101011";4;1. klasse;;;;;;
20;"1101";5;1. klasse;;;;;;
21;"10101012";4;2. klasse;;;;;;
22;"1102";5;2. klasse;;;;;;
23;"10101013";4;3. klasse;;;;;;
24;"1103";5;3. klasse;;;;;;
25;"10101014";4;4. klasse;;;;;;
26;"1104";5;4. klasse;;;;;;
27;"10101015";4;5. klasse;;;;;;
28;"1105";5;5. klasse;;;;;;
29;"10101016";4;6. klasse;;;;;;
30;"1006";5;6. klasse;;;;;;
31;"1106";5;6. klasse;;;;;;
32;"1206";5;6. klasse;;;;;;
33;"10101020";4;Grundskole til og med 6. årgang;;;;;;
34;"0200";5;1-6 år ivu;;;;;;
35;"1114";5;Grundskole til og med 6. kl;;;;;;
36;"1020";2;Grundskole 7.-9. klasse;;;;;;
37;"102010";3;Grundskole 7.-9. klasse;;;;;;
38;"10201010";4;7. klasse;;;;;;
39;"1007";5;7. klasse;;;;;;
40;"1107";5;7. klasse;;;;;;
41;"1207";5;7. klasse;;;;;;
42;"10201011";4;8.klasse;;;;;;
43;"1008";5;8. klasse;;;;;;
44;"1021";5;1. real;;;;;;
45;"1108";5;8. klasse;;;;;;
46;"1121";5;1. real;;;;;;
47;"1208";5;8. klasse;;;;;;
48;"1721";5;1. år, realkursus 3-årigt;;;;;;
49;"2508";5;8. klasse, efterskole;;;;;;
50;"10201012";4;9. klasse;;;;;;
51;"1009";5;9. klasse;;;;;;
52;"1022";5;2. real;;;;;;
53;"1109";5;9. klasse;;;;;;
54;"1122";5;2. real;;;;;;
55;"1209";5;9. klasse;;;;;;
56;"1509";5;1. år, grundsskolekursus 2-årigt;;;;;;
57;"1522";5;1. år, realkursus 2-årigt;;;;;;
58;"1722";5;2. år, realkursus 3-årigt;;;;;;
59;"2509";5;9. klasse, efterskole;;;;;;
60;"10201020";4;Grundskole 7.-9. årgang;;;;;;
61;"0205";5;7-8 år ivu;;;;;;
62;"0210";5;9-10 år ivu;;;;;;
63;"1115";5;Grundskole 7.-10. kl.;;;;;;
64;"1116";5;Grundskole 7.-9. kl.;;;;;;
65;"2515";5;Efterskoler;;;;;;
66;"2516";5;Efterskoler 8.-9. kl.;;;;;;
67;"1030";2;Grundskole 10. klasse;;;;;;
68;"103010";3;Grundskole 10. klasse;;;;;;
69;"10301010";4;10. klasse;;;;;;
70;"1010";5;10. klasse;;;;;;
71;"1011";5;11. klasse;;;;;;
72;"1023";5;3. real;;;;;;
73;"1110";5;10. klasse;;;;;;
74;"1111";5;11. klasse;;;;;;
75;"1123";5;3. real;;;;;;
76;"1210";5;10. klasse;;;;;;
