SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"1";1;Ledelsesarbejde;;;;;;
2;"11";2;Øverste ledelse i lovgivende myndigheder, virksomheder og organisationer;;;;;;
3;"111";3;Øverste ledelse i lovgivende myndigheder, offentlige virksomheder og organisationer;;;;;;
4;"1111";4;Øverste ledelse i lovgivende myndigheder;;;;;;
5;"111100";5;Øverste ledelse i lovgivende myndigheder;;;;;;
6;"1112";4;Øverste ledelse i offentlige virksomheder;;;;;;
7;"111200";5;Øverste ledelse i offentlige virksomheder;;;;;;
8;"1114";4;Øverste ledelse i interesseorganisationer;;;;;;
9;"111400";5;Øverste ledelse i interesseorganisationer;;;;;;
10;"112";3;Øverste virksomhedsledelse;;;;;;
11;"1120";4;Øverste virksomhedsledelse;;;;;;
12;"112010";5;Øverste administrerende virksomhedsledelse;;;;;;
13;"112020";5;Virksomhedsledelse af tværgående funktioner;;;;;;
14;"12";2;Ledelse inden for administration og erhvervsorienterede funktioner;;;;;;
15;"121";3;Ledelse inden for forretningsservice og administrative funktioner;;;;;;
16;"1211";4;Ledelse inden for økonomifunktioner;;;;;;
17;"121100";5;Ledelse inden for økonomifunktioner;;;;;;
18;"1212";4;Ledelse inden for HR-funktioner;;;;;;
19;"121200";5;Ledelse inden for HR-funktioner;;;;;;
20;"1213";4;Ledelse inden for offentlig administration og virksomhedsstrategi/policy området;;;;;;
21;"121310";5;Ledelse inden for virksomhedsstrategi/policy området;;;;;;
22;"121320";5;Administrativ ledelse i den offentlige sektor;;;;;;
23;"1219";4;Ledelse inden for anden forretningsservice og andre administrative funktioner;;;;;;
24;"121910";5;Ledelse af rengøringsfunktioner o.l.;;;;;;
25;"121920";5;Ledelse af logistikfunktioner;;;;;;
26;"121990";5;Anden ledelse inden for forretningsservice og administrative funktioner i øvrigt;;;;;;
27;"122";3;Ledelse af forretnings- og udviklingsorienterede funktioner;;;;;;
28;"1221";4;Ledelse af salg og marketing;;;;;;
29;"122100";5;Ledelse af salg og marketing;;;;;;
30;"1222";4;Ledelse af reklame og PR;;;;;;
31;"122200";5;Ledelse af reklame og PR;;;;;;
32;"1223";4;Ledelse af kommerciel forskning og udvikling;;;;;;
33;"122300";5;Ledelse af kommerciel forskning og udvikling;;;;;;
34;"13";2;Ledelse af hovedaktiviteten inden for produktions- og servicevirksomhed;;;;;;
35;"131";3;Ledelse af produktion i landbrug, skovbrug og fiskeri;;;;;;
36;"1311";4;Ledelse af produktion i landbrug og skovbrug;;;;;;
37;"131100";5;Ledelse af produktion i landbrug og skovbrug;;;;;;
38;"1312";4;Ledelse af produktion inden for akvakultur og fiskeri;;;;;;
39;"131200";5;Ledelse af produktion inden for akvakultur og fiskeri;;;;;;
40;"132";3;Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed, råstofudvinding, byggeri, forsyning, distribution mv.;;;;;;
41;"1321";4;Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug, skovbrug og fiskeri);;;;;;
42;"132100";5;Ledelse af hovedaktiviteten inden for fremstillingsvirksomhed (undtagen landbrug, skovbrug og fiskeri);;;;;;
43;"1322";4;Ledelse af hovedaktiviteten inden for råstofudvinding;;;;;;
44;"132200";5;Ledelse af hovedaktiviteten inden for råstofudvinding;;;;;;
45;"1323";4;Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed;;;;;;
46;"132300";5;Ledelse af hovedaktiviteten inden for bygge- og anlægsvirksomhed;;;;;;
