Kode	Tekst
	Kap. V: Psykiske lidelser og adfærdsmæssige forstyrrelser [DF00-DF99]
	Organiske inklusive symptomatiske psykiske lidelser [DF00-DF09]
DF00	Demens ved Alzheimers sygdom
DF000	Demens ved Alzheimers sygdom med tidlig debut
DF0000	Demens ved tidlig Alzheimers sygdom uden andre symptomer
DF0001	Demens ved tidlig Alzheimers sygdom med paranoide symptomer
DF0002	Demens ved tidlig Alzheimers sygdom med hallucinationer
DF0003	Demens ved tidlig Alzheimers sygdom med depressive symptomer
DF0004	Demens ved tidlig Alzheimers sygdom med blandede symptomer
DF001	Demens ved Alzheimers sygdom med sen debut
DF0010	Demens ved sen Alzheimers sygdom uden andre symptomer
DF0011	Demens ved sen Alzheimers sygdom med paranoide symptomer
DF0012	Demens ved sen Alzheimers sygdom med hallucinationer
DF0013	Demens ved sen Alzheimers sygdom med depressive symptomer
DF0014	Demens ved sen Alzheimers sygdom med blandede symptomer
DF002	Demens ved Alzheimers sygdom af atypisk eller blandet type
DF0020	Demens ved atypisk Alzheimers sygdom uden andre symptomer
DF0021	Demens ved atypisk Alzheimers sygdom med paranoide symptomer
DF0022	Demens ved atypisk Alzheimers sygdom med hallucinationer
DF0023	Demens ved atypisk Alzheimers sygdom med depressive symptomer
DF0024	Demens ved atypisk Alzheimers sygdom med blandede symptomer
DF009	Demens ved Alzheimers sygdom UNS
DF0090	Demens uden andre symptomer ved Alzheimers sygdom UNS
DF0091	Demens med paranoide symptomer ved Alzheimers sygdom UNS
DF0092	Demens med hallucinationer ved Alzheimers sygdom UNS
DF0093	Demens med depressive symptomer ved Alzheimers sygdom UNS
DF0094	Demens med blandede symptomer ved Alzheimers sygdom UNS
DF01	Vaskulær demens
DF010	Vaskulær demens med akut indsætten
DF0100	Vaskulær demens med akut indsætten uden andre symptomer
DF0101	Vaskulær demens med akut indsætten med paranoide symptomer
DF0102	Vaskulær demens med akut indsætten med hallucinationer
DF0103	Vaskulær demens med akut indsætten med depressive symptomer
DF0104	Vaskulær demens med akut indsætten med blandede symptomer
DF011	Multiinfarktdemens
DF0110	Multiinfarktdemens uden andre symptomer
DF0111	Multiinfarktdemens med paranoide symptomer
DF0112	Multiinfarktdemens med hallucinationer
DF0113	Multiinfarktdemens med depressive symptomer
