UDD,TEXT,UDD_UDDANNELSESNIVEAU,UDD_FAGOMRAADE_UNDER,UDD_UDDANNELSESTYPE_UNDER,UDD_ISCED_P,UDD_ISCED_F,OMR,MINI,PRIO,TP,L,UDD_HOVEDOMRAADE_DETALJERET,NRMA,AKTIV,AUDD,ATEXT,AUDD_UDDANNELSESNIVEAU,AUDD_FAGOMRAADE_UNDER,AUDD_UDDANNELSESTYPE_UNDER,AUDD_ISCED_P,AUDD_ISCED_F,PRIA,KOMP,AUDD_HOVEDOMRAADE_DETALJERET,UNDERVISNINGSSPROG
0,Afbrudt,90,991010,9910,999,9999,0,0,0,0,0,90992010,0,1,0,Afbrudt,90,991010,9910,999,9999,0,0,90992010,Dansk
1,Ingen uddannelse ivu,10,995010,9920,999,9999,9,0,0,0,0,10011010,0,1,1,Ingen uddannelse ivu,10,995010,9920,999,9999,0,0,10011010,Dansk
2,Ikke igang,90,993010,9910,999,9999,0,0,0,0,0,90993010,0,1,2,Ikke igang,90,993010,9910,999,9999,0,0,90993010,Dansk
141,Formidl.-erhvervsspr. una - udvekslingstud. (kort vidg.),50,251010,4510,551,0220,0,0,0,0,0,40241010,0,0,141,Formidl.-erhvervsspr. una - udvekslingstud. (kort vidg.),50,251010,4510,551,0220,0,0,40241010,Dansk
144,Samfundsfaglig una - udvekslingstud. (kort vidg.),50,351010,4510,551,0300,0,0,0,0,0,40381010,0,0,144,Samfundsfaglig una - udvekslingstud. (kort vidg.),50,351010,4510,551,0300,0,0,40381010,Dansk
145,Teknisk una - udvekslingstud. (kort vidg.),50,551010,4510,551,0700,0,0,0,0,0,40581010,0,0,145,Teknisk una - udvekslingstud. (kort vidg.),50,551010,4510,551,0700,0,0,40581010,Dansk
146,Levnedsm./husholdn. una - udvekslingstud. (kort vidg.),50,555010,4510,551,0721,0,0,0,0,0,40751010,0,0,146,Levnedsm./husholdn. una - udvekslingstud. (kort vidg.),50,555010,4510,551,0721,0,0,40751010,Dansk
148,Transport mv.una - udvekslingstud. (kort vidg.),50,801010,4510,551,1041,0,0,0,0,0,40859510,0,0,148,Transport mv.una - udvekslingstud. (kort vidg.),50,801010,4510,551,1041,0,0,40859510,Dansk
150,Pædagogisk una - udvekslingstud. (ml.lang vidg.),60,202010,6010,651,0111,0,0,0,0,0,50201010,0,0,150,Pædagogisk una - udvekslingstud. (ml.lang vidg.),60,202010,6010,651,0111,0,0,50201010,Dansk
151,Formidl.-erhvervsspr. una- udvekslingstud. (ml.lang vidg.),60,251010,6010,651,0220,0,0,0,0,0,50241010,0,0,151,Formidl.-erhvervsspr. una- udvekslingstud. (ml.lang vidg.),60,251010,6010,651,0220,0,0,50241010,Dansk
152,Kunstnerisk una - udvekslingstud. (ml.lang vidg.),60,301010,6010,651,0210,0,0,0,0,0,50301010,0,0,152,Kunstnerisk una - udvekslingstud. (ml.lang vidg.),60,301010,6010,651,0210,0,0,50301010,Dansk
153,Naturvidenskabuna - udvekslingstud. (ml.lang vidg.),60,451010,6010,651,0500,0,0,0,0,0,50751010,0,0,153,Naturvidenskabuna - udvekslingstud. (ml.lang vidg.),60,451010,6010,651,0500,0,0,50751010,Dansk
154,Samfundsvidensk.una - udvekslingstud. (ml.lang vidg.),60,351010,6010,651,0300,0,0,0,0,0,50381010,0,0,154,Samfundsvidensk.una - udvekslingstud. (ml.lang vidg.),60,351010,6010,651,0300,0,0,50381010,Dansk
155,Teknisk una - udvekslingstud. (ml.lang vidg.),60,551010,6010,651,0700,0,0,0,0,0,50581010,0,0,155,Teknisk una - udvekslingstud. (ml.lang vidg.),60,551010,6010,651,0700,0,0,50581010,Dansk
156,Levnedsm./ernæring una - udvekslingstud. (ml.lang vidg.),60,453015,6010,651,0518,0,0,0,0,0,50751010,0,0,156,Levnedsm./ernæring una - udvekslingstud. (ml.lang vidg.),60,453015,6010,651,0518,0,0,50751010,Dansk
159,Sundhed una - udvekslingstud. (ml.lang vidg.),60,651010,6010,651,0900,0,0,0,0,0,50891010,0,0,159,Sundhed una - udvekslingstud. (ml.lang vidg.),60,651010,6010,651,0900,0,0,50891010,Dansk
161,Humanistisk una - udvekslingstud. (bachelor),60,251010,5030,641,0220,0,0,0,0,0,60251010,0,0,161,Humanistisk una - udvekslingstud. (bachelor),60,251010,5030,641,0220,0,0,60251010,Dansk
162,Kunstnerisk una - udvekslingstud. (bachelor),60,301010,5030,641,0210,0,0,0,0,0,60301010,0,0,162,Kunstnerisk una - udvekslingstud. (bachelor),60,301010,5030,641,0210,0,0,60301010,Dansk
163,Naturvidenskab una - udvekslingstud. (bachelor),60,451010,5030,641,0500,0,0,0,0,0,60351010,0,0,163,Naturvidenskab una - udvekslingstud. (bachelor),60,451010,5030,641,0500,0,0,60351010,Dansk
164,Samfundsvidenskab una - udvekslingstud. (bachelor),60,351010,5030,641,0300,0,0,0,0,0,60391010,0,0,164,Samfundsvidenskab una - udvekslingstud. (bachelor),60,351010,5030,641,0300,0,0,60391010,Dansk
165,Teknisk una- udvekslingstud. (bachelor),60,551010,5030,641,0700,0,0,0,0,0,60591010,0,0,165,Teknisk una- udvekslingstud. (bachelor),60,551010,5030,641,0700,0,0,60591010,Dansk
167,Jordbrugsvidenskab una - udvekslingstud. (bachelor),60,601010,5030,641,0800,0,0,0,0,0,60801010,0,0,167,Jordbrugsvidenskab una - udvekslingstud. (bachelor),60,601010,5030,641,0800,0,0,60801010,Dansk
170,Pædagogisk una - udvekslingstud.(lang vidg.),70,202010,7510,741,0111,0,0,0,0,0,70201010,0,0,170,Pædagogisk una - udvekslingstud.(lang vidg.),70,202010,7510,741,0111,0,0,70201010,Dansk
171,Humanistisk-teologisk una - udvekslingstud. (lang vidg.),70,251010,7510,741,0220,0,0,0,0,0,70251010,0,0,171,Humanistisk-teologisk una - udvekslingstud. (lang vidg.),70,251010,7510,741,0220,0,0,70251010,Dansk
172,Kunstnerisk una - udvekslingstud. (lang vidg.),70,301010,7510,741,0210,0,0,0,0,0,70301010,0,0,172,Kunstnerisk una - udvekslingstud. (lang vidg.),70,301010,7510,741,0210,0,0,70301010,Dansk
173,Naturvidenskab una- udvekslingstud. (lang vidg.),70,451010,7510,741,0500,0,0,0,0,0,70351010,0,0,173,Naturvidenskab una- udvekslingstud. (lang vidg.),70,451010,7510,741,0500,0,0,70351010,Dansk
174,Samfundsvidenskab una - udvekslingstud. (lang vidg.),70,351010,7510,741,0300,0,0,0,0,0,70391010,0,0,174,Samfundsvidenskab una - udvekslingstud. (lang vidg.),70,351010,7510,741,0300,0,0,70391010,Dansk
175,Teknisk una - udvekslingstud. (lang vidg.),70,551010,7510,741,0700,0,0,0,0,0,70591010,0,0,175,Teknisk una - udvekslingstud. (lang vidg.),70,551010,7510,741,0700,0,0,70591010,Dansk
176,Levnedsm./ernæring una - udvekslingstud. (lang vidg.),70,453015,7510,741,0518,0,0,0,0,0,70759510,0,0,176,Levnedsm./ernæring una - udvekslingstud. (lang vidg.),70,453015,7510,741,0518,0,0,70759510,Dansk
177,Jordbrugsvidenskab una - udvekslingstud. (lang vidg.),70,601010,7510,741,0800,0,0,0,0,0,70801010,0,0,177,Jordbrugsvidenskab una - udvekslingstud. (lang vidg.),70,601010,7510,741,0800,0,0,70801010,Dansk
179,Sundhed una - udvekslingstud. (lang vidg.),70,651010,7510,741,0900,0,0,0,0,0,70901010,0,0,179,Sundhed una - udvekslingstud. (lang vidg.),70,651010,7510,741,0900,0,0,70901010,Dansk
200,1-6 år ivu,10,101010,1510,100,0011,9,0,12,1,0,10101020,72,1,200,1-6 år ivu,10,101010,1510,100,0011,84,2,10101020,Dansk
205,7-8 år ivu,20,102010,1520,241,0011,9,0,84,1,0,10201020,24,1,205,7-8 år ivu,20,102010,1520,241,0011,108,2,10201020,Dansk
210,9-10 år ivu,20,102010,1520,244,0011,9,0,108,1,0,10201020,24,1,210,9-10 år ivu,20,102010,1520,244,0011,132,1,10201020,Dansk
215,"Studentereksamen mv., ivu",30,121030,2040,344,0011,9,0,120,1,0,20305010,36,1,215,"Studentereksamen mv., ivu",30,121030,2040,344,0011,156,1,20305010,Dansk
220,"Pædagogik, ivu (amu)",30,656525,8590,351,0922,9,0,0,1,0,39101510,0,1,220,"Pædagogik, ivu (amu)",30,656525,8590,351,0922,0,8,39101510,Dansk
239,"Handel/kontor, ivu (amu)",30,401010,8590,351,0410,9,0,0,1,0,39152510,0,1,239,"Handel/kontor, ivu (amu)",30,401010,8590,351,0410,0,8,39152510,Dansk
253,"Bygge/anlæg, ivu (amu)",30,581010,8590,351,0730,9,0,0,1,0,39351010,0,1,253,"Bygge/anlæg, ivu (amu)",30,581010,8590,351,0730,0,8,39351010,Dansk
